club_id,kubun,design_id,page,table_id,target_column,delta,effective_date,status
fukuoka-nishijin,会員種別,DAG_Z6db2XA,3,PBJN3R3wYKwmnzgJ-LBD7Qm0HmQk3zHhg,B,300,2026-10-01,planned
fukuoka-nishijin,ジュニアスイミング,DAG_Z6db2XA,14,PBqVkBrXvLkBhVwW-LB6VWvbD1rG6XJF5,B,500,2026-10-01,planned
fukuoka-nishijin,成人スイミング,DAG_Z6db2XA,27,PBNnbN20lZyNJr8X-LBvmdxlFkPnclwGB,B,500,2026-10-01,planned
